"term_gpa","TotalSleepTime","cum_gpa","Zterm_units_ZofZ","study","high_gpa"
2,5.60654761833333,3.03,0.561915066,"3","0"
1.07,3.24637681166667,2.947272727,0.041207105,"3","0"
3.93,6.19285714333333,3.2525,0.041207105,"3","1"
4,6.457738095,3.673448276,0.041207105,"3","1"
3.71,6.62083333333333,3.348181818,1.082623027,"3","1"
4,7.782738095,3.925454545,0.561915066,"3","1"
2.26,5.84691358,3.092333333,-3.603748621,"3","0"
3.37,7.770987655,3.46,-1.000208817,"3","1"
3.11,5.625,3.40875,1.082623027,"3","1"
2.87,7.71833333333333,3.3,0.041207105,"3","0"
4,7.68452381,4,-0.479500856,"3","1"
3.33,7.27083333333333,3.295882353,1.603330987,"3","1"
3.54,7.51785714333333,3.625714286,1.082623027,"3","1"
3.87,6.53154761833333,3.875555556,-0.479500856,"3","1"
0.35,5.58765432166667,1.587692308,-2.5623327,"3","0"
3.33,7.10833333333333,3.165,0.561915066,"3","1"
3.5,7.54266666666667,3.223703704,0.041207105,"3","1"
3.62,6.91025641,3.670689655,0.041207105,"3","1"
3.46,6.72407407333333,3.324347826,-0.479500856,"3","1"
3.54,6.651785715,3.553214286,-1.000208817,"3","1"
